"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
48,967,168,447,792,1057,1109,490,70,15115,19960,4
119,682,166,473,798,1070,1083,482,75,15117,19960,3
126,967,8,448,792,1058,1107,490,70,15115,19960,4
117,934,165,602,789,1051,1204,511,67,15050,19994,1
123,947,167,418,4077,1047,1189,509,65,15067,19984,2
122,946,167,418,787,2262,1192,510,65,15064,19986,2
108,923,162,458,798,1069,1041,499,75,15056,19992,0
110,924,163,446,795,1063,1182,283,72,15051,19994,0
122,946,167,418,787,1047,1191,509,364,15065,19985,2
106,928,162,492,804,1084,1102,483,81,14167,19977,1
107,931,162,493,804,1084,1096,482,81,15090,23685,1
117,953,165,479,800,1074,1081,481,77,15114,19961,0
