YEAR,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
1998,1,1,3,1,1,3,3,2,16,10,35,30
1999,12,1,0,0,0,2,9,6,0,0,0,3
2000,0,0,0,0,0,0,0,1,0,0,0,0
2001,0,0,0,0,0,0,1,0,5,77,91,42
2002,4,2,0,3,5,140,623,1019,1213,999,600,203
2003,34,1,2,0,0,0,0,0,10,21,3,0
2004,0,0,0,0,0,0,0,0,6,12,19,11
2005,6,4,0,0,0,0,0,18,21,30,49,8
2006,0,0,0,0,0,2,50,106,166,283,228,107
2007,13,0,3,0,0,2,44,16,5,26,63,9
2008,3,0,0,0,0,5,36,68,37,130,127,18
2009,0,0,1,0,0,0,4,58,36,141,317,191
2010,36,2,2,3,2,3,2,56,223,326,275,145
2011,10,2,0,0,0,0,3,117,124,241,455,216
2012,7,2,0,0,2,4,12,35,85,142,167,51
2013,5,0,1,0,0,0,1,1,2,7,32,21
2014,1,0,0,0,12,92,366,937,2192,5328,4787,1284
2015,70,10,7,5,19,31,29,438,2107,5134,8914,2959
2016,331,7,1,1,0,0,1,1,0,0,0,0
2017,0,0,0,0,0,0,3,0,0,0,,
